_id,keyword,good_url,image_url,price,describe,shop,shop_url
ObjectId(5d5bcec2169344ce32384b13),iPad,detail.tmall.com/item.htm?id=581619814912&skuId=4010085292402&user_id=2616970884&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,6331.00,"[""\n【下单至高减700元】2018款 Apple/苹果 "","" Pro 11英寸智能平板电脑 A12处理器WiFi版 国行正品\n""]","[""\n苏宁易购官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2616970884&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec2169344ce32384b14),iPad,detail.tmall.com/item.htm?id=589549346704&skuId=4200612355581&user_id=2616970884&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,3896.00,"[""\n【下单至高减527元】2019新款 Apple/苹果"","" Air 10.5英寸智能平板电脑 A12处理器WiFi支持pencil\n""]","[""\n苏宁易购官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2616970884&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec2169344ce32384b15),电脑,detail.tmall.com/item.htm?id=520149040205&skuId=4329796143785&user_id=1652528654&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,5096.00,"[""\n攀升 i7 8700/GTX1060升1660ti台式"",""主机高配吃鸡电竞游戏主机DIY网吧主播水冷组装台式机整机全套\n""]","[""\nIPASON攀升官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1652528654&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec2169344ce32384b16),iPad,detail.tmall.com/item.htm?id=589346193955&skuId=4611686607773581859&user_id=1917047079&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,4870.00,"[""\nApple/苹果 10.5 英寸 "","" Air\n""]","[""\nApple Store 官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1917047079&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec2169344ce32384b17),电脑,detail.tmall.com/item.htm?id=533652858113&skuId=4330578095502&user_id=1652528654&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,5690.00,"[""\n攀升i7 8700升I7 9700/RTX2060图灵显卡水冷台式组装机DIY吃鸡高端游戏"",""主机全套整机diy高配\n""]","[""\nIPASON攀升官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1652528654&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec2169344ce32384b18),iPad,detail.tmall.com/item.htm?id=35550626143&skuId=4028694172510&user_id=1669409267&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,3338.00,"[""\n[天猫直送 两年保修]Apple/苹果 10.5英寸 "","" Air平板电脑便携式掌上电脑2019新款二合一 支持Apple Pencil\n""]","[""\n卓辰数码旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1669409267&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec2169344ce32384b19),电脑,detail.tmall.com/item.htm?id=20544471804&skuId=4198256497792&user_id=595397331&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,3899.00,"[""\n宁美国度 "",""主机i5 9400F/GTX1060升1660高配吃鸡电竞游戏型组装机"",""台式主机家用全套diy整机\n""]","[""\n宁美国度官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=595397331&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec2169344ce32384b1a),iPhone,detail.tmall.com/item.htm?id=577284665556&skuId=3812240009547&user_id=2616970884&cat_id=2&is_b=1&rn=098bda40c085756653cdb11c48a1c290,img.alicdn.com/bao/uploaded/i2/2616970884/O1CN01efjuGr1IOufw5J2h8_!!2616970884.jpg,8888.00,"[""\n【下单立减300元】Apple/苹果 "","" Xs Max 256G 全网通4G手机 双卡双待苹果"",""xsmax\n""]","[""\n苏宁易购官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2616970884&rn=098bda40c085756653cdb11c48a1c290&keyword=iPhone
ObjectId(5d5bcec2169344ce32384b1b),iPad,detail.tmall.com/item.htm?id=581104644378&skuId=4058407471646&user_id=1669409267&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,6769.00,"[""\n[12期分期 顺丰速发]2018新款 Apple/苹果 11 英寸 "","" Pro智能全面屏平板电脑便携式触控电脑支持面容识别\n""]","[""\n卓辰数码旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1669409267&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec2169344ce32384b1c),iPad,detail.tmall.com/item.htm?id=580996961794&skuId=4611686599424349698&user_id=1917047079&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,6331.00,"[""\nApple/苹果 11 英寸 "","" Pro\n""]","[""\nApple Store 官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1917047079&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
